Wall time,Step,Value
1620425989.7181718,18,80.0
1620426104.8452547,42,20.0
1620426124.0426977,45,60.0
1620426255.0399897,71,0.0
1620426369.4092298,94,0.0
1620426709.8699503,155,20.0
1620426725.052348,158,60.0
1620426786.2637455,167,0.0
1620427142.950387,229,20.0
1620427163.625356,234,0.0
1620427265.0554385,255,40.0
1620427332.6213617,267,20.0
1620427365.3204195,273,20.0
1620427559.1957445,308,40.0
1620427580.6709898,310,120.0
1620427611.631178,318,0.0
1620427824.0148711,347,60.0
1620427919.2325525,367,20.0
1620428273.8207672,421,0.0
1620428551.5812945,460,20.0
1620428657.6590316,474,20.0
1620429047.5743866,536,80.0
1620429232.0248544,563,80.0
1620429342.3849626,579,0.0
1620429396.653298,586,80.0
1620429402.2970316,587,60.0
1620429634.6586628,620,0.0
1620429756.1333601,634,0.0
1620429826.8331676,647,0.0
1620429948.7592213,661,40.0
1620430003.3344088,671,0.0
1620430271.3653402,714,0.0
1620430343.7671256,722,0.0
1620430400.5935862,730,60.0
1620430659.6994245,765,60.0
1620430705.3507135,769,60.0
1620430712.820767,771,20.0
1620430786.0449214,785,40.0
1620430823.089541,787,40.0
1620430855.2287025,794,40.0
1620430910.512405,802,80.0
1620430946.806544,808,20.0
1620431185.213777,836,20.0
1620431939.1990485,945,60.0
1620432112.436007,971,140.0
1620432127.9469845,972,100.0
1620432158.8144333,978,40.0
1620432188.3014195,984,0.0
1620432311.1314178,1002,200.0
1620432338.0415514,1005,80.0
1620432399.302574,1014,0.0
1620432669.2080188,1063,0.0
1620432689.3564787,1066,20.0
1620432757.4901645,1078,20.0
1620432851.849344,1093,20.0
1620432898.041014,1099,20.0
1620432921.8068013,1104,0.0
1620433299.4765942,1156,20.0
1620433337.145926,1161,0.0
1620433339.7520704,1162,0.0
1620433467.6337698,1180,60.0
1620433565.050357,1193,0.0
1620433907.390832,1244,60.0
1620434014.760554,1261,80.0
1620434370.2315097,1316,0.0
1620434387.5437653,1319,0.0
1620434451.061852,1333,0.0
1620434470.9056635,1337,40.0
1620434794.0504441,1385,0.0
1620434843.2067182,1392,0.0
1620434994.2120297,1414,0.0
1620435087.4312599,1426,40.0
1620435169.4407022,1436,160.0
1620435361.1272235,1466,20.0
1620435422.946548,1477,60.0
1620435555.114124,1491,20.0
1620435778.446323,1523,60.0
1620435957.9541507,1552,0.0
1620436051.9966154,1568,60.0
1620436169.9097562,1584,0.0
1620436191.6711674,1588,0.0
1620436328.6736743,1605,20.0
1620436594.1096568,1640,60.0
1620436879.8569827,1682,0.0
1620436938.169467,1691,0.0
1620437012.839243,1702,60.0
1620437063.0669935,1709,60.0
1620437121.0030403,1718,0.0
1620437212.171963,1732,60.0
1620437224.7145069,1734,60.0
1620437236.1184654,1737,0.0
1620437499.0655274,1781,20.0
1620437806.4951723,1826,140.0
1620437933.0004377,1844,100.0
1620438009.8030007,1853,0.0
1620438135.7792017,1866,0.0
1620438147.0112717,1869,20.0
1620438210.0115113,1877,0.0
1620438563.512841,1917,0.0
1620438679.3137774,1934,0.0
1620438738.6231158,1944,20.0
1620438757.1915681,1947,20.0
1620439172.941711,2001,0.0
1620439290.155622,2013,40.0
1620439507.03374,2036,80.0
1620439779.8537662,2073,40.0
1620439798.6048863,2076,0.0
1620439806.8413906,2077,20.0
1620439855.6323993,2085,40.0
1620439882.1077843,2089,40.0
1620439919.5892494,2096,0.0
1620440317.5735064,2149,0.0
1620440383.2183776,2156,20.0
1620440608.141271,2187,0.0
1620440652.8693376,2191,0.0
1620440727.8987966,2199,80.0
1620440787.7587059,2207,0.0
1620440815.500339,2211,20.0
1620440935.9643414,2231,0.0
1620440958.4695868,2236,20.0
1620440962.9848223,2237,20.0
1620441126.6698272,2257,200.0
1620441168.7809775,2262,60.0
1620441287.3689053,2281,0.0
1620441414.6992471,2297,20.0
1620441513.0458596,2307,100.0
1620441606.7085001,2319,60.0
1620441783.941894,2345,0.0
1620441840.0270796,2354,80.0
1620442093.8007805,2389,0.0
1620442099.2836747,2390,20.0
1620442110.7076318,2392,20.0
1620442431.8834717,2436,180.0
1620442476.350525,2444,20.0
1620442567.7755878,2453,20.0
1620442573.983185,2455,20.0
1620442614.869128,2460,20.0
1620442744.9696376,2485,20.0
1620442748.5528915,2486,20.0
1620442830.3941557,2496,40.0
1620442845.2295935,2498,100.0
1620442915.6583407,2503,0.0
1620443058.9161258,2517,160.0
1620443106.6857474,2523,20.0
1620443177.7836144,2532,40.0
1620443311.2780452,2547,60.0
1620443363.9419925,2553,20.0
1620443759.9703524,2606,0.0
1620444278.7262852,2685,40.0
1620444409.034108,2703,120.0
1620444640.218916,2740,0.0
1620444736.3508923,2754,260.0
1620444986.0057707,2789,60.0
1620445562.6080618,2872,140.0
1620445691.6592689,2896,0.0
1620446200.7286816,2967,0.0
1620446253.1462018,2975,0.0
1620446498.7056017,3011,0.0
1620446633.6236067,3030,80.0
1620446702.2868443,3038,20.0
1620446729.5693288,3041,0.0
1620447078.2857761,3099,0.0
1620447435.055353,3161,20.0
1620447512.692466,3177,60.0
1620447586.3575373,3195,20.0
1620447599.6075587,3196,100.0
1620447852.01847,3230,100.0
1620447907.7090993,3240,20.0
1620447924.9792745,3243,0.0
1620447929.8635616,3244,0.0
1620447946.3295825,3246,80.0
1620447950.316267,3247,20.0
1620448087.5948844,3272,20.0
1620448289.6984737,3305,100.0
1620448540.901592,3345,20.0
1620448704.2801006,3376,0.0
1620448826.6894789,3403,40.0
1620448850.9155917,3408,20.0
1620448990.2369163,3430,0.0
1620449076.6288142,3449,0.0
1620449156.9293365,3464,0.0
1620449249.80015,3480,60.0
1620449429.187269,3509,0.0
1620449448.545487,3512,40.0
1620449581.3450062,3537,0.0
1620449935.8765004,3600,0.0
1620450058.5860271,3618,0.0
1620450067.3053703,3620,0.0
1620450077.786418,3622,40.0
1620450110.0511742,3628,20.0
1620450248.3221562,3656,0.0
1620450324.1804268,3670,0.0
1620450637.8575678,3726,0.0
1620450667.111939,3730,140.0
1620450722.2150886,3741,0.0
1620451019.0601203,3793,0.0
1620451134.3859038,3814,0.0
1620451161.3642118,3819,40.0
1620451167.3352,3821,0.0
1620451232.2603307,3831,0.0
1620451484.438039,3864,0.0
1620451555.9272015,3876,20.0
1620451873.2081492,3928,80.0
1620452056.75712,3956,20.0
1620452260.5229788,3984,20.0
1620452639.7878692,4022,0.0
1620452699.0183022,4033,20.0
1620452710.6393514,4036,20.0
1620453074.6810744,4093,40.0
1620453104.3823056,4098,40.0
1620453173.6650202,4109,0.0
1620453549.8739789,4182,0.0
1620453625.9207838,4194,0.0
1620453640.100224,4196,0.0
1620453659.4650478,4201,0.0
1620453666.2818441,4202,20.0
1620453817.3510106,4227,0.0
1620453839.53917,4232,20.0
1620453852.5214593,4235,0.0
1620453891.521682,4243,0.0
1620454007.5263014,4263,40.0
1620454033.433229,4266,0.0
1620454141.3614998,4282,20.0
1620454274.4517863,4304,20.0
1620454355.286795,4317,0.0
1620454365.1518648,4319,0.0
1620454645.272436,4369,0.0
1620454761.3147397,4393,0.0
1620454811.4023163,4400,40.0
1620454841.0839045,4406,20.0
1620454972.0689673,4430,0.0
1620454992.023202,4433,0.0
1620455285.9606934,4492,0.0
1620455364.9986079,4509,20.0
1620455473.394777,4530,0.0
1620455758.845377,4578,20.0
1620455773.1720912,4581,0.0
1620455867.5923827,4597,0.0
1620456009.4028485,4628,20.0
1620456174.6508303,4656,20.0
1620456233.1658952,4664,0.0
1620456260.8090184,4668,0.0
1620456326.7052135,4676,0.0
1620456526.9230294,4713,0.0
1620456554.2062132,4718,100.0
1620456724.977545,4750,0.0
1620456757.879244,4758,0.0
1620456796.074798,4767,40.0
1620456906.8847237,4788,20.0
1620456960.643129,4800,0.0
1620456972.8111937,4802,0.0
1620457157.4661686,4840,0.0
1620457207.6226354,4852,20.0
1620457414.446824,4894,0.0
1620457764.160365,4962,20.0
1620457823.8897262,4971,20.0
1620457833.1408958,4974,0.0
1620458227.238896,5050,20.0
1620458237.5682793,5052,0.0
1620458242.324933,5053,20.0
1620458524.467764,5106,20.0
1620458674.3906827,5134,0.0
1620459061.8673856,5200,60.0
1620459286.2136655,5239,20.0
1620459549.5115924,5289,0.0
1620459775.286081,5329,0.0
1620459850.2289674,5345,40.0
1620459956.6416535,5359,0.0
1620460289.5030243,5420,0.0
1620460388.754234,5442,0.0
1620460678.0873437,5495,0.0
1620460785.5480695,5515,0.0
1620460802.3319747,5517,20.0
1620460988.689595,5549,20.0
1620461126.0962784,5573,20.0
1620461203.1064794,5587,60.0
1620461405.748662,5630,0.0
1620461555.0087495,5658,0.0
1620461562.5391495,5660,20.0
1620461580.4585795,5664,20.0
1620461662.9418957,5679,0.0
1620461880.3882804,5720,0.0
1620461896.3453662,5723,0.0
1620462192.7686577,5776,0.0
1620462356.5909932,5807,0.0
1620462360.0734806,5808,0.0
1620462460.9324994,5825,20.0
1620462472.7205873,5828,40.0
1620462652.803038,5862,0.0
1620462681.9235582,5864,60.0
1620462721.1830885,5871,20.0
1620462914.6117916,5907,0.0
1620463005.8468206,5928,0.0
1620463140.9519026,5952,20.0
1620463185.7550628,5957,0.0
1620463213.72477,5963,0.0
1620463359.7769992,5990,0.0
1620463526.927417,6010,20.0
1620463556.616517,6015,0.0
1620463652.0302672,6030,40.0
1620463677.4623182,6035,0.0
1620463906.2152934,6078,0.0
1620464071.8436153,6103,20.0
1620464078.1257465,6105,0.0
1620464162.9757237,6121,40.0
1620464205.4223447,6131,0.0
1620464545.9213588,6181,0.0
1620464668.9220724,6200,20.0
1620464739.231909,6213,60.0
1620464771.453775,6219,60.0
1620464835.090551,6232,0.0
1620465128.26526,6289,0.0
1620465280.5979125,6312,20.0
1620465311.1066024,6317,20.0
1620465440.6095154,6341,0.0
1620465488.250808,6352,20.0
1620465551.0230477,6363,0.0
1620465650.356781,6376,40.0
1620465763.2689185,6400,0.0
1620466301.1430926,6495,20.0
1620466305.4421725,6496,0.0
1620466322.2801113,6500,0.0
1620466414.12546,6520,0.0
1620466417.6181605,6521,0.0
1620466689.8453352,6574,0.0
1620466757.1754153,6584,0.0
1620466870.0278623,6603,40.0
1620467156.818479,6657,0.0
1620467214.5531209,6666,0.0
1620467257.1582153,6672,20.0
1620467299.5443428,6678,0.0
1620467310.6441932,6681,40.0
1620467359.3836255,6688,0.0
1620467408.6502237,6696,20.0
1620467417.7326744,6699,0.0
1620467471.7758925,6711,20.0
1620467613.7468028,6738,0.0
1620467637.8756413,6742,20.0
1620467700.825666,6753,20.0
1620468140.421646,6832,0.0
1620468240.1068964,6846,40.0
1620468279.3650563,6854,20.0
1620468359.7642956,6869,0.0
1620468718.2321815,6934,20.0
1620468866.413311,6963,0.0
1620468876.728768,6966,0.0
1620469000.0353541,6992,0.0
1620469130.9130495,7014,0.0
1620469540.0682902,7091,0.0
1620469626.21171,7106,0.0
1620469681.2887583,7114,40.0
1620469821.8880067,7137,80.0
1620469926.0141346,7155,0.0
1620470157.0802119,7195,0.0
1620470266.6854794,7216,0.0
1620470462.3091285,7247,40.0
1620470794.2358654,7300,0.0
1620470851.5969896,7311,20.0
1620470976.3841672,7329,0.0
1620471021.5039885,7339,40.0
1620471024.4352236,7340,0.0
1620471173.2213507,7359,0.0
1620471288.6906781,7382,0.0
1620471400.1910625,7401,0.0
1620471635.449905,7440,0.0
1620471653.1467755,7443,40.0
1620471685.9779696,7450,20.0
1620471740.087202,7460,80.0
1620471756.4018252,7463,20.0
1620471860.97863,7478,20.0
1620472035.0137792,7511,20.0
1620472132.086303,7530,0.0
1620472613.3962698,7609,0.0
1620472812.1134462,7644,0.0
1620472899.2444427,7661,0.0
1620472970.508537,7676,0.0
1620473037.0604336,7687,0.0
1620473066.5056868,7693,0.0
1620473215.991078,7718,60.0
1620473234.9156523,7723,0.0
1620473261.4503386,7728,0.0
