Wall time,Step,Value
1618243865.494072,18,0.0
1618244100.3699539,42,0.0
1618244112.4827647,45,0.0
1618244218.9770253,56,0.0
1618244381.3668013,71,150.0
1618244672.5517936,94,0.0
1618245273.4763176,155,50.0
1618245324.2325473,158,100.0
1618245447.7205205,167,0.0
1618246133.4480667,229,0.0
1618246171.3719015,234,0.0
1618246409.2767713,255,50.0
1618246524.4338655,267,50.0
1618246597.4579978,273,0.0
1618246888.3755229,308,50.0
1618246905.3488343,310,0.0
1618246959.3815434,318,200.0
1618247276.9339564,347,50.0
1618247520.3648798,367,0.0
1618248097.768411,421,0.0
1618248302.73019,442,50.0
1618248500.7304215,460,50.0
1618248674.2881615,474,0.0
1618249374.065752,536,0.0
1618249678.105903,563,0.0
1618249836.8889303,579,0.0
1618249970.6787593,586,50.0
1618249997.3302865,587,250.0
1618250372.8901408,620,50.0
1618250516.8450143,634,0.0
1618250718.3415716,647,100.0
1618250899.1088672,661,0.0
1618251020.7555408,671,250.0
1618251555.2108123,714,0.0
1618251667.1616845,722,0.0
1618251773.3404906,730,300.0
1618252138.6224654,765,0.0
1618252207.4775152,769,100.0
1618252232.0636904,771,50.0
1618252391.9143717,785,0.0
1618252420.6152394,787,50.0
1618252479.2175896,794,50.0
1618252539.4066432,802,0.0
1618252585.1370006,808,50.0
1618252909.7310526,836,0.0
1618254174.8079333,945,50.0
1618254386.2791831,962,0.0
1618254463.024037,971,0.0
1618254473.5797036,972,100.0
1618254536.843148,978,0.0
1618254611.737577,984,100.0
1618254797.981797,1002,50.0
1618254833.5766516,1005,0.0
1618254944.8714762,1014,50.0
1618255469.7907891,1063,200.0
1618255506.731373,1066,100.0
1618255583.1642773,1072,50.0
1618255659.7950351,1078,100.0
1618255847.5015337,1093,50.0
1618255905.4305882,1099,0.0
1618255979.1379476,1104,0.0
1618256587.9959915,1156,0.0
1618256613.8211386,1161,50.0
1618256630.0266368,1162,150.0
1618256802.1387663,1180,50.0
1618256910.5343735,1193,0.0
1618257682.148348,1244,50.0
1618257936.84867,1261,200.0
1618258764.8066714,1316,0.0
1618258861.8554018,1319,400.0
1618259104.9752324,1333,50.0
1618259152.2775147,1337,0.0
1618259822.6173337,1385,50.0
1618259905.0322778,1392,0.0
1618260213.8315182,1414,0.0
1618260386.4799752,1426,0.0
1618260567.6038952,1436,100.0
1618261015.9575677,1466,150.0
1618261242.9900594,1477,0.0
1618261417.3077812,1485,0.0
1618261501.7446423,1491,0.0
1618262006.9415216,1523,0.0
1618262336.9606323,1552,100.0
1618262571.544816,1568,250.0
1618262924.5859408,1584,100.0
1618262990.0452888,1588,350.0
1618263255.1289918,1605,0.0
1618263770.7559943,1640,50.0
1618264466.99937,1682,800.0
1618264585.007009,1691,200.0
1618264645.5679016,1697,100.0
1618264724.00083,1702,350.0
1618264856.275973,1709,200.0
1618264993.1753068,1718,50.0
1618265178.5471601,1732,50.0
1618265271.2983527,1734,500.0
1618265312.1078343,1737,150.0
1618266044.6166692,1781,50.0
1618266899.2548685,1826,50.0
1618267259.7408383,1844,150.0
1618267365.2102752,1853,0.0
1618267547.017042,1866,50.0
1618267602.2034664,1869,0.0
1618267709.6729827,1877,150.0
1618268308.915714,1917,0.0
1618268493.7968583,1934,200.0
1618268635.0618541,1944,100.0
1618268705.5788844,1947,200.0
1618269068.6143765,1967,100.0
1618269766.0046697,2001,100.0
1618269957.1899133,2013,250.0
1618270219.0668335,2036,0.0
1618270800.6514673,2073,50.0
1618270825.166491,2076,50.0
1618270834.2349193,2077,0.0
1618270938.7355802,2085,100.0
1618270993.1861515,2089,100.0
1618271105.8464336,2096,100.0
1618272001.2975368,2149,150.0
1618272122.5970118,2156,0.0
1618272264.9022396,2165,50.0
1618272579.1450775,2187,100.0
1618272659.6890345,2191,50.0
1618272752.1805978,2199,0.0
1618272929.0463598,2207,100.0
1618273007.3228645,2211,150.0
1618273394.0840394,2231,50.0
1618273523.8042011,2236,250.0
1618273535.0408258,2237,50.0
1618273624.3828716,2242,300.0
1618273918.7886388,2257,100.0
1618274003.0627646,2262,150.0
1618274343.8124347,2281,0.0
1618274691.1428595,2297,50.0
1618274837.239347,2307,50.0
1618275026.554153,2319,0.0
1618275379.9254513,2345,0.0
1618275518.9249399,2354,0.0
1618276158.7375522,2389,0.0
1618276168.1034179,2390,0.0
1618276203.716803,2392,150.0
1618276967.4569638,2436,150.0
1618277094.0249758,2444,100.0
1618277246.08556,2453,100.0
1618277292.3842425,2455,0.0
1618277418.3555303,2460,100.0
1618277829.6011398,2485,50.0
1618277844.220088,2486,50.0
1618277987.3724134,2496,50.0
1618278058.1913967,2498,150.0
1618278176.0382497,2503,200.0
1618278427.9199536,2517,50.0
1618278536.059818,2523,0.0
1618278696.3229222,2532,450.0
1618278927.2576697,2547,0.0
1618279038.9227686,2553,50.0
1618280000.1882246,2606,50.0
1618281407.976531,2685,0.0
1618281514.0985324,2690,50.0
1618281742.0651348,2703,300.0
1618282250.1586728,2740,0.0
1618282498.0581677,2754,100.0
1618283109.9028027,2789,50.0
1618284735.1635811,2872,50.0
1618285132.9775481,2896,0.0
1618285622.7410805,2920,0.0
1618286545.01415,2967,50.0
1618286726.9506931,2975,0.0
1618287298.370282,3011,100.0
1618287709.87351,3030,300.0
1618287889.9658768,3038,0.0
1618287985.0932994,3041,50.0
1618289159.5956507,3099,50.0
1618290200.3248672,3155,0.0
1618290302.8591936,3161,150.0
1618290713.3925438,3177,100.0
1618291125.894278,3195,0.0
1618291147.4676058,3196,200.0
1618291814.6282814,3230,0.0
1618292068.3813725,3240,300.0
1618292108.0321646,3243,0.0
1618292143.6453867,3244,200.0
1618292194.1980803,3246,0.0
1618292209.7313147,3247,0.0
1618292594.6889374,3272,0.0
1618293314.7257972,3305,0.0
1618294288.4267156,3345,0.0
1618294907.3884363,3376,50.0
1618295344.9954588,3403,150.0
1618295525.5599456,3408,0.0
1618295919.6543689,3430,50.0
1618296369.8202004,3449,0.0
1618296779.0194697,3464,250.0
1618297060.4423683,3480,0.0
1618297749.963028,3509,50.0
1618297870.9066033,3512,0.0
1618298473.5946248,3537,150.0
1618299528.7983987,3600,100.0
1618299937.3136125,3618,300.0
1618300020.2918649,3620,0.0
1618300051.871914,3622,50.0
1618300130.2927954,3628,150.0
1618300646.1635332,3656,0.0
1618300873.1331706,3670,0.0
1618301867.475472,3726,0.0
1618301903.580692,3730,50.0
1618302087.4595501,3741,0.0
1618303248.549939,3793,0.0
1618303686.3079097,3814,200.0
1618303740.3548126,3819,0.0
1618303800.0956135,3821,0.0
1618303933.3187714,3831,50.0
1618304728.9254968,3864,50.0
1618304932.5477004,3876,50.0
1618305880.5858681,3928,0.0
1618306033.0188541,3939,0.0
1618306279.3863535,3956,50.0
1618306935.9939625,3984,0.0
1618307703.9949324,4022,0.0
1618307847.0890095,4033,0.0
1618307876.1206973,4036,50.0
1618308944.1915002,4093,50.0
1618309097.056021,4098,0.0
1618309357.29,4109,0.0
1618310588.6296237,4182,0.0
1618310761.285512,4193,0.0
1618310815.566998,4194,0.0
1618310838.3097768,4196,50.0
1618310888.2414055,4201,0.0
1618310941.263307,4202,50.0
1618311449.69179,4227,0.0
1618311539.9765658,4232,50.0
1618311562.4578989,4235,0.0
1618311729.3957014,4243,0.0
1618312232.0603662,4263,0.0
1618312251.7542536,4266,0.0
1618312525.413664,4282,100.0
1618312939.3089602,4304,0.0
1618313202.0042815,4317,50.0
1618313221.252112,4319,0.0
1618314160.798603,4369,0.0
1618314571.1379607,4393,0.0
1618314680.359939,4400,0.0
1618314772.6176438,4406,50.0
1618315183.4611962,4430,50.0
1618315240.0144827,4433,0.0
1618316405.7548366,4492,0.0
1618316777.0064297,4509,200.0
1618317183.935314,4530,50.0
1618317302.315075,4533,0.0
1618318240.0447488,4578,0.0
1618318283.959338,4581,0.0
1618318598.1841,4597,150.0
1618319225.1438458,4628,250.0
1618319759.7185555,4656,0.0
1618319898.0599165,4664,50.0
1618319992.5236282,4668,50.0
1618320120.4126782,4676,0.0
1618321046.2484312,4713,0.0
1618321223.0924523,4718,0.0
1618321939.2125394,4750,0.0
1618322023.4483688,4758,0.0
1618322181.0444293,4767,0.0
1618322603.7396524,4788,50.0
1618322810.518785,4800,0.0
1618322827.1614273,4802,50.0
1618323549.1897671,4840,0.0
1618323816.313919,4852,50.0
1618324158.2286596,4871,0.0
1618324518.695224,4894,150.0
1618325700.3958344,4962,0.0
1618325908.4839344,4971,0.0
1618325983.387019,4974,0.0
1618327457.1268718,5050,0.0
1618327495.388678,5052,50.0
1618327503.842929,5053,0.0
1618328684.2264907,5106,200.0
1618329058.9068482,5126,0.0
1618329205.464186,5134,0.0
1618330372.9045782,5182,0.0
1618330644.0975523,5200,0.0
1618330780.6538033,5208,0.0
1618331382.368975,5239,0.0
1618332248.0840588,5289,50.0
1618332923.5644364,5329,200.0
1618333143.048646,5345,50.0
1618333416.65268,5359,0.0
1618333806.1403384,5380,0.0
1618334299.7909024,5420,0.0
1618334715.9414477,5442,0.0
1618334812.7882333,5447,0.0
1618335764.2572465,5495,0.0
1618336101.0694785,5515,100.0
1618336122.241391,5517,0.0
1618336579.2627676,5549,0.0
1618336938.2549486,5573,0.0
1618337203.7361822,5587,0.0
1618338005.2712882,5630,0.0
1618338510.9823997,5658,0.0
1618338586.4121678,5660,0.0
1618338693.8290832,5664,100.0
1618339086.1001375,5679,100.0
1618339698.0157127,5720,0.0
1618339750.5644505,5723,0.0
1618340559.9362433,5776,0.0
1618340949.720418,5807,0.0
1618340994.2486553,5808,0.0
1618341233.2746756,5825,0.0
1618341284.9091153,5828,0.0
1618341721.8928773,5862,100.0
1618341766.1400628,5864,150.0
1618341898.4805834,5871,0.0
1618342344.24051,5907,0.0
1618342652.9766638,5928,50.0
1618342970.0971437,5952,100.0
1618343028.173947,5957,0.0
1618343095.4614549,5963,0.0
1618343382.590097,5990,0.0
1618343774.3531919,6010,0.0
1618343858.51839,6015,50.0
1618344058.7995908,6030,0.0
1618344101.124253,6035,0.0
1618344633.1168225,6078,50.0
1618344954.807735,6103,0.0
1618345001.8550694,6105,50.0
1618345167.2308655,6121,0.0
1618345257.3952355,6131,50.0
1618345812.9521832,6181,0.0
1618346064.5353308,6200,100.0
1618346159.9093847,6213,0.0
1618346207.1042144,6219,0.0
1618346347.0042977,6232,0.0
1618347219.9636865,6289,0.0
1618347522.1615212,6312,50.0
1618347573.9454484,6317,0.0
1618347816.8455987,6341,0.0
1618347901.4245286,6352,0.0
1618348002.230449,6363,0.0
1618348153.95452,6376,0.0
1618348436.9396195,6400,0.0
1618349632.9321232,6495,0.0
1618349641.2936344,6496,0.0
1618349681.4941795,6500,50.0
1618349968.007737,6520,50.0
1618349978.7494593,6521,0.0
1618350070.378067,6530,0.0
1618350608.7787929,6574,0.0
1618350726.1952844,6581,0.0
1618350748.774935,6584,0.0
1618350978.4447045,6603,0.0
1618351652.904719,6657,0.0
1618351767.7061746,6666,0.0
1618351775.9907234,6668,0.0
1618351803.5199337,6672,50.0
1618351902.6382096,6678,0.0
1618351975.6544023,6681,0.0
1618352076.0698519,6688,0.0
1618352150.8660038,6696,0.0
1618352205.7203813,6699,100.0
1618352412.722751,6711,0.0
1618352729.7792642,6738,0.0
1618352761.0093524,6742,0.0
1618352919.9252887,6753,0.0
1618354039.1851602,6832,50.0
1618354233.1644075,6846,0.0
1618354334.9082637,6854,0.0
1618354489.0380847,6868,0.0
1618354499.275645,6869,0.0
1618355430.7615201,6934,0.0
1618355779.1565747,6963,0.0
1618355838.8591802,6966,0.0
1618356125.691297,6992,0.0
1618356288.257375,7014,50.0
1618356603.2687204,7039,0.0
1618357141.9115925,7091,0.0
1618357478.98464,7106,0.0
1618357578.7257288,7114,0.0
1618357582.5225656,7115,0.0
1618357792.4771361,7137,0.0
1618357946.6661413,7155,50.0
1618358481.0067701,7195,0.0
1618358771.5875347,7216,0.0
1618359051.8469775,7247,0.0
1618359634.2679422,7300,0.0
1618359752.9209137,7311,0.0
1618359936.8957741,7329,0.0
1618360074.6782742,7339,150.0
1618360078.9220946,7340,0.0
1618360283.505698,7359,50.0
1618360629.198552,7382,100.0
1618360905.473546,7401,0.0
1618361258.473813,7440,0.0
1618361272.4792483,7443,0.0
1618361342.4925961,7450,0.0
1618361403.0576043,7460,0.0
1618361436.9373946,7463,0.0
1618361526.4994678,7468,0.0
1618361659.4474475,7478,50.0
1618362081.1524425,7511,0.0
1618362236.7742953,7530,0.0
1618363109.3169122,7609,0.0
1618363580.315836,7644,0.0
1618363706.435739,7661,0.0
1618363831.5655177,7676,0.0
1618363962.6103976,7687,0.0
1618364014.2560372,7693,0.0
1618364217.9934895,7718,0.0
1618364248.6138892,7723,0.0
1618364303.1807914,7728,0.0
1618364527.5027487,7746,0.0
1618364601.7986648,7757,0.0
1618364626.968099,7760,0.0
1618364792.0198758,7780,0.0
1618364850.1344585,7788,100.0
1618365015.0618813,7798,50.0
1618365344.1943226,7833,0.0
1618365387.8987591,7838,0.0
1618365996.3921812,7899,0.0
1618366002.4097645,7900,0.0
1618366397.8283963,7932,0.0
1618366938.3913493,7983,50.0
1618366996.458246,7991,50.0
1618367372.076862,8026,0.0
1618367517.9946768,8037,100.0
1618367627.208148,8049,0.0
1618367824.8387291,8066,0.0
1618368433.437975,8126,0.0
1618368676.06558,8150,0.0
1618369010.0110912,8180,0.0
1618369036.2655241,8184,0.0
1618369203.6650286,8198,0.0
1618369382.982775,8215,0.0
1618369433.3220968,8221,0.0
1618369923.2628632,8263,0.0
1618370105.7987344,8279,0.0
1618370191.440921,8290,0.0
1618370260.5027437,8299,0.0
1618370333.9056525,8307,0.0
1618370477.7555785,8327,0.0
1618370554.796659,8332,0.0
1618370591.3873997,8334,0.0
1618370653.356891,8340,0.0
1618370846.6392696,8360,50.0
1618370864.0007453,8363,0.0
1618370909.4929159,8368,0.0
1618370965.798378,8377,0.0
1618371768.1838362,8467,0.0
1618371775.1367912,8468,0.0
1618371828.2543993,8470,50.0
1618372065.73859,8498,0.0
1618372097.987958,8503,0.0
1618372133.4851046,8508,0.0
1618372246.670938,8523,0.0
1618372609.0592873,8566,0.0
1618372661.727811,8573,0.0
1618372815.2689264,8592,0.0
1618372882.4870827,8601,0.0
1618458182.427835,8635,0.0
1618458186.0319245,8636,0.0
1618458278.3884444,8645,50.0
1618458592.8606586,8683,0.0
1618458723.610968,8691,100.0
1618458763.7462397,8696,50.0
1618459130.838949,8728,100.0
1618459617.0613902,8775,50.0
1618459643.860315,8779,0.0
1618459879.9741657,8802,300.0
1618460070.3238556,8820,50.0
1618460093.7505918,8823,0.0
1618460285.76695,8844,0.0
1618460467.3800423,8855,0.0
1618460723.7133002,8879,0.0
1618460769.8018692,8886,0.0
1618460860.3700566,8903,0.0
1618460873.3864543,8905,0.0
1618460919.8200257,8908,0.0
1618461088.135882,8929,0.0
1618461098.6754253,8931,0.0
1618461156.4443512,8936,50.0
1618461231.3926659,8947,50.0
1618461365.7163754,8959,0.0
1618461486.3276684,8976,50.0
1618461630.5797708,8994,50.0
1618461688.7865262,9000,50.0
1618461756.2901585,9010,0.0
1618461902.3107636,9029,50.0
1618462130.1676428,9056,0.0
1618462203.8773153,9064,0.0
1618462392.7644732,9085,0.0
1618462577.934297,9106,50.0
1618463003.1055608,9156,0.0
1618463081.642875,9163,0.0
1618463456.5044436,9217,50.0
1618463536.8982334,9227,0.0
1618463590.7121942,9234,50.0
1618463868.308755,9261,0.0
1618464049.6329632,9282,0.0
1618464120.7201304,9292,0.0
1618464338.8205693,9308,50.0
1618464425.7032704,9317,0.0
1618464695.5973513,9349,0.0
1618464941.1138744,9370,0.0
1618465268.4503613,9413,0.0
1618465306.6173682,9416,0.0
1618465491.7789867,9436,0.0
1618465546.5309756,9443,0.0
1618465776.0371125,9469,0.0
1618466329.85607,9539,0.0
1618466391.057388,9548,0.0
1618466479.596271,9555,0.0
1618466562.120843,9568,50.0
1618466752.411551,9590,0.0
1618466831.9635317,9601,0.0
1618466919.2209735,9612,50.0
1618467075.8273435,9628,0.0
1618467214.0977614,9652,0.0
1618467283.2647073,9658,0.0
1618467541.9456892,9681,0.0
1618467705.3989038,9699,0.0
1618468255.029716,9760,0.0
1618468349.338852,9769,0.0
1618468814.462346,9813,0.0
1618469039.8909755,9841,0.0
1618469067.5360606,9844,0.0
1618469481.9583025,9884,0.0
1618469634.2028904,9908,0.0
