Wall time,Step,Value
1620425986.6974695,18,40.0
1620426103.6570628,42,60.0
1620426125.4280353,45,100.0
1620426263.9488032,71,140.0
1620426399.3551133,94,40.0
1620426761.1793482,155,180.0
1620426773.2012289,158,0.0
1620426828.5533304,167,20.0
1620427196.3589785,229,0.0
1620427234.659209,234,20.0
1620427374.4961805,255,0.0
1620427434.7980156,267,0.0
1620427475.9854178,273,20.0
1620427685.7524064,308,0.0
1620427704.7353349,310,20.0
1620427760.9547763,318,0.0
1620427939.2234063,347,120.0
1620428052.6125855,367,60.0
1620428390.0021238,421,80.0
1620428713.036262,460,40.0
1620428822.6929944,474,20.0
1620429220.0323243,536,40.0
1620429402.3073847,563,0.0
1620429493.8119767,579,0.0
1620429526.126927,586,20.0
1620429530.0282426,587,0.0
1620429721.6394815,620,60.0
1620429817.3877213,634,0.0
1620429883.7010174,647,0.0
1620429966.9668214,661,0.0
1620430038.404669,671,20.0
1620430340.8068647,714,20.0
1620430397.288241,722,0.0
1620430439.9577906,730,0.0
1620430731.6933866,765,80.0
1620430761.2414563,769,20.0
1620430779.8308978,771,0.0
1620430890.9991505,785,0.0
1620430900.5108676,787,0.0
1620430936.4138572,794,0.0
1620431013.0933657,802,140.0
1620431049.6111166,808,0.0
1620431282.822611,836,60.0
1620432146.8714335,945,100.0
1620432414.8804696,971,0.0
1620432421.0467992,972,40.0
1620432459.3176076,978,40.0
1620432497.7640421,984,100.0
1620432638.0351906,1002,160.0
1620432663.7383049,1005,40.0
1620432746.206777,1014,0.0
1620433173.5106218,1063,0.0
1620433186.4775667,1066,20.0
1620433448.5178883,1093,40.0
1620433475.7593696,1099,20.0
1620433523.0089457,1104,60.0
1620433973.0860355,1156,0.0
1620434002.0380738,1161,180.0
1620434006.840114,1162,20.0
1620434126.8749738,1180,60.0
1620434215.9193387,1193,60.0
1620434588.0742233,1244,20.0
1620434711.2028692,1261,0.0
1620435117.7623572,1316,60.0
1620435133.82065,1319,0.0
1620435204.0616004,1333,20.0
1620435251.8276806,1337,80.0
1620435646.5530934,1385,0.0
1620435699.433961,1392,20.0
1620435839.7596207,1414,60.0
1620435916.9624927,1426,40.0
1620436018.7831876,1436,0.0
1620436238.8900406,1466,20.0
1620436316.3498213,1477,120.0
1620436414.817451,1491,0.0
1620436624.0767093,1523,20.0
1620436832.9740832,1552,0.0
1620436930.957916,1568,0.0
1620437027.399885,1584,20.0
1620437059.805119,1588,40.0
1620437194.5237632,1605,120.0
1620437441.305109,1640,0.0
1620437752.4959855,1682,20.0
1620437840.905131,1691,60.0
1620437923.2330399,1702,0.0
1620437972.6316335,1709,40.0
1620438052.2480145,1718,20.0
1620438152.2189624,1732,20.0
1620438164.078112,1734,20.0
1620438177.0583224,1737,20.0
1620438472.2762628,1781,20.0
1620438808.6126635,1826,40.0
1620438928.8395772,1844,20.0
1620438972.902796,1853,0.0
1620439065.3522422,1866,60.0
1620439088.7821262,1869,0.0
1620439148.0657573,1877,20.0
1620439415.4269612,1917,0.0
1620439551.4632244,1934,100.0
1620439633.0652575,1944,0.0
1620439660.05499,1947,60.0
1620440226.2766294,2001,20.0
1620440337.9457269,2013,20.0
1620440509.8574018,2036,60.0
1620440804.4357982,2076,0.0
1620440808.1892216,2077,20.0
1620440863.4652524,2085,140.0
1620440887.2351952,2089,0.0
1620440967.9621558,2096,20.0
1620441386.406445,2149,280.0
1620441442.4932373,2156,140.0
1620441709.9785192,2187,60.0
1620441747.0891962,2191,0.0
1620441801.7012875,2199,60.0
1620441844.7700696,2207,40.0
1620441869.2389648,2211,40.0
1620441998.6327252,2231,0.0
1620442052.1723104,2236,140.0
1620442062.0675535,2237,100.0
1620442193.3264215,2257,0.0
1620442220.1562078,2262,0.0
1620442389.1821184,2281,200.0
1620442529.9092138,2297,40.0
1620442604.3963616,2307,20.0
1620442703.3764422,2319,200.0
1620442904.439374,2345,40.0
1620442991.0278583,2354,140.0
1620443247.8734674,2389,0.0
1620443255.0749342,2390,80.0
1620443284.3686962,2392,60.0
1620443626.2650669,2436,60.0
1620443693.297666,2444,20.0
1620443742.5321531,2453,20.0
1620443752.9375336,2455,20.0
1620443795.5754895,2460,220.0
1620443981.9247773,2485,0.0
1620443990.0212169,2486,80.0
1620444081.530839,2496,20.0
1620444094.079182,2498,80.0
1620444114.5521545,2503,0.0
1620444235.2163808,2517,140.0
1620444271.9669826,2523,0.0
1620444370.4080174,2532,40.0
1620444477.6198447,2547,80.0
1620444513.4102404,2553,0.0
1620444918.3316376,2606,120.0
1620445542.8092642,2685,20.0
1620445738.2048142,2703,40.0
1620445997.8330853,2740,80.0
1620446110.4544735,2754,0.0
1620446357.6656678,2789,100.0
1620446852.304552,2872,0.0
1620446975.392843,2896,60.0
1620447357.4458914,2967,0.0
1620447396.258439,2975,40.0
1620447618.905178,3011,60.0
1620447859.7225473,3038,0.0
1620447871.805453,3041,0.0
1620448265.4417157,3099,80.0
1620448645.550348,3161,0.0
1620448733.7158008,3177,0.0
1620448854.5634365,3195,20.0
1620448858.3545752,3196,0.0
1620449087.4252517,3230,40.0
1620449147.435038,3240,0.0
1620449171.1930478,3243,0.0
1620449175.9466672,3244,0.0
1620449185.7588015,3246,0.0
1620449188.3026907,3247,0.0
1620449535.0968406,3305,0.0
1620449754.0734062,3345,0.0
1620449958.7535934,3376,60.0
1620450135.3480709,3403,20.0
1620450188.5850701,3408,0.0
1620450316.5894146,3430,20.0
1620450429.7736204,3449,20.0
1620450502.5010068,3464,0.0
1620450607.9192488,3480,40.0
1620450770.476867,3509,100.0
1620450784.0183022,3512,0.0
1620450949.426803,3537,20.0
1620451267.555464,3600,0.0
1620451358.5994298,3618,0.0
1620451366.0357718,3620,20.0
1620451373.036435,3622,20.0
1620451401.7604856,3628,20.0
1620451536.263187,3656,0.0
1620451614.1658754,3670,40.0
1620451927.1039538,3726,20.0
1620451947.51021,3730,0.0
1620452014.5342438,3741,20.0
1620452321.888577,3793,0.0
1620452443.5785937,3814,0.0
1620452509.3290942,3819,0.0
1620452519.5213706,3821,0.0
1620452581.7122025,3831,40.0
1620452755.3809671,3864,0.0
1620452817.4945471,3876,0.0
1620453106.9562364,3928,20.0
1620453292.7750256,3956,0.0
1620453428.1612153,3984,20.0
1620453726.4622986,4022,20.0
1620453784.1816833,4033,20.0
1620453801.1667173,4036,0.0
1620454135.018993,4093,0.0
1620454172.0210617,4098,0.0
