Wall time,Step,Value
1616373685.9167564,10,0.0
1616373732.4102976,16,50.0
1616373813.3145797,32,100.0
1616373822.6223078,34,0.0
1616373848.180339,37,0.0
1616373924.3717332,48,50.0
1616374027.8684783,63,0.0
1616374050.0590627,66,0.0
1616374236.9793284,86,50.0
1616374282.8690526,94,0.0
1616374327.5320456,98,0.0
1616374528.2389736,118,0.0
1616374753.0676363,147,0.0
1616374785.3812068,150,0.0
1616374860.279486,159,0.0
1616374958.8475008,170,0.0
1616375018.1769521,175,50.0
1616375043.7527993,177,50.0
1616375080.7410166,182,50.0
1616375480.4650574,221,0.0
1616375512.4335542,226,0.0
1616375633.598754,241,50.0
1616375682.747505,247,0.0
1616375746.8280907,252,0.0
1616375799.2113519,259,0.0
1616375861.64978,265,50.0
1616376015.0247452,284,50.0
1616376174.5158138,300,50.0
1616376189.4147937,302,0.0
1616376244.924788,310,0.0
1616376358.4421809,322,0.0
1616376425.773517,331,50.0
1616376485.817827,339,0.0
1616376608.466294,355,0.0
1616376644.2821286,359,150.0
1616377140.3864672,413,0.0
1616377144.3233075,414,0.0
1616377357.2593684,431,150.0
1616377382.5783696,434,50.0
1616377415.2323122,437,0.0
1616377571.1836536,452,150.0
1616377600.1929374,455,50.0
1616377612.262114,456,100.0
1616377768.717552,466,150.0
1616378068.0383918,485,150.0
1616378317.6644104,506,300.0
1616378525.6053212,523,50.0
1616378596.28337,528,100.0
1616378879.0193233,555,250.0
1616379036.2332902,565,100.0
1616379132.0184221,571,100.0
1616379199.0873537,578,0.0
1616379205.1752865,579,50.0
1616379391.732983,594,0.0
1616379605.636058,612,50.0
1616379618.9192479,614,0.0
1616379791.5438526,626,50.0
1616379861.7150385,633,0.0
1616379876.1656556,634,50.0
1616379937.2702954,636,0.0
1616380002.4069376,639,400.0
1616380018.3173683,641,0.0
1616380163.0291853,653,0.0
1616380337.7443323,663,50.0
1616380514.5772076,680,50.0
1616380867.772813,706,0.0
1616380916.8715239,710,0.0
1616380938.2229068,714,50.0
1616381026.679915,722,0.0
1616381104.6082501,731,0.0
1616381124.272281,735,50.0
1616381180.9765422,744,50.0
1616381237.7764485,748,50.0
1616381295.4174678,757,0.0
1616381331.354323,761,50.0
1616381365.6897461,763,150.0
1616381381.1490602,765,0.0
1616381462.975741,772,0.0
1616381568.935892,777,50.0
1616381591.8007214,779,100.0
1616381625.206947,784,0.0
1616381636.689699,786,0.0
1616381690.606993,790,0.0
1616381727.3969026,794,50.0
1616381775.7900908,800,150.0
1616381791.170688,801,50.0
1616382098.886876,824,200.0
1616382132.155826,828,0.0
1616382429.5368364,861,0.0
1616382507.7868667,868,0.0
1616382543.385934,874,0.0
1616382667.395928,888,50.0
1616382708.0577009,892,0.0
1616382783.1952388,899,0.0
1616382813.2149653,901,150.0
1616382919.233471,907,100.0
1616382930.3258772,909,50.0
1616383088.356785,923,50.0
1616383114.463744,924,150.0
1616383208.5045698,934,0.0
1616383256.3245742,937,150.0
1616383358.6113708,946,100.0
1616383413.036962,950,100.0
1616383463.993461,954,0.0
1616383551.1797671,963,0.0
1616383558.2670538,964,0.0
1616383621.3110948,970,0.0
1616383635.4268117,971,50.0
1616383693.5393214,976,50.0
1616383919.706057,994,150.0
1616383952.531981,997,50.0
1616384041.3759334,1006,50.0
1616384352.4014595,1036,50.0
1616384564.5192351,1049,200.0
1616384633.9464262,1055,0.0
1616384674.668655,1058,100.0
1616384705.0886445,1060,150.0
1616384740.0835795,1064,0.0
1616384791.46487,1070,0.0
1616384845.4851408,1075,150.0
1616384932.409737,1085,0.0
1616385037.7130506,1091,250.0
1616385094.1729121,1096,50.0
1616385169.5323756,1106,0.0
1616385691.0253892,1148,0.0
1616385734.963391,1152,100.0
1616385746.3673062,1153,0.0
1616385759.6051736,1154,0.0
1616385956.9904206,1172,0.0
1616386160.9062872,1185,0.0
1616386315.8366196,1198,0.0
1616386611.3824399,1224,100.0
1616386745.8523564,1236,0.0
1616386895.1996195,1247,0.0
